,Bedroom,Bathroom,Super_area,Carpet_area,Furnished_status,Water_availability,Locality,Age_of_construction,Facing,Tenant,Owner,Floor,Security_deposit,Availability_status,Overlooking,Monthly_charges,Brokerage,Rent,covered_parking,open_parking
302,2.0,2,1092.0,780.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,North - East,Family / Bachelors ,Agent,13.0,100000,Immediately Available,Garden/Park,0,0,24000,1,0
303,2.0,2,835.0,560.0,Unfurnished,24 Hours Available,Thane,New Construction,North - East,Family / Bachelors ,Agent,1.0,50000,Immediately Available,Garden/Park,0,0,12000,0,1
304,3.0,2,1161.0,798.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,North,Family / Bachelors ,Agent,1.0,50000,Immediately Available,Garden/Park,0,14500,14500,0,1
305,2.0,2,1087.0,712.0,Semi-Furnished,24 Hours Available,Thane,New Construction,East,Family,Agent,7.0,100000,Immediately Available,Garden/Park,1000,25000,25000,1,0
306,2.0,2,1500.0,1000.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,16.0,75000,Immediately Available,Garden/Park,0,20000,20000,0,1
307,1.0,1,680.0,430.0,Unfurnished,24 Hours Available,Thane,5 to 10 years,North - East,Family,Agent,4.0,9000,Immediately Available,Garden/Park,580,9000,9000,0,1
308,2.0,2,1011.0,605.0,Semi-Furnished,24 Hours Available,Thane,5 to 10 years,East,Family / Bachelors ,Agent,5.0,100000,Immediately Available,Garden/Park,0,19000,19000,0,1
309,2.0,2,1130.0,779.0,Unfurnished,24 Hours Available,Thane,New Construction,North - East,Family,Agent,18.0,100000,Immediately Available,Garden/Park,1,24000,24000,1,0
310,2.0,2,748.0,576.0,Unfurnished,24 Hours Available,Thane,5 to 10 years,East,Family / Bachelors ,Agent,7.0,40000,Immediately Available,Not Mentioned,0,10000,10000,0,1
311,2.0,2,950.0,680.0,Semi-Furnished,24 Hours Available,Thane,10 to 15 years,East,Family,Agent,2.0,100000,Immediately Available,Garden/Park,0,24000,24000,0,1
312,1.0,1,649.0,495.0,Unfurnished,12 Hours Available,Thane,Less than 5 years,North - East,Bachelors,Agent,1.0,35000,Immediately Not Available,Main Road,0,9500,9500,0,0
313,2.0,2,918.0,688.0,Unfurnished,24 Hours Available,Thane,5 to 10 years,East,Family / Bachelors ,Agent,12.0,50000,Immediately Available,Main Road,0,13500,13500,0,1
314,2.0,2,1250.0,950.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,North,Family,Agent,24.0,150000,Immediately Available,Not Mentioned,0,0,32000,1,0
315,3.0,3,1250.0,950.0,Semi-Furnished,12 Hours Available,Thane,5 to 10 years,East,Bachelors,Owner,4.0,240000,Immediately Not Available,Main Road,0,0,40000,0,0
316,1.0,1,800.0,510.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,8.0,7000,Immediately Available,Garden/Park,0,7000,7000,0,0
317,3.0,2,1400.0,1120.0,Unfurnished,24 Hours Available,Thane,New Construction,East,Family / Bachelors ,Agent,12.0,150000,Immediately Available,Main Road,200,27000,27000,1,0
318,2.0,2,909.0,686.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,North - West,Family / Bachelors ,Agent,2.0,12000,Immediately Available,Garden/Park,0,12000,12000,0,1
319,2.0,2,774.0,585.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family,Agent,5.0,50000,Immediately Available,Garden/Park,0,11000,11000,0,1
320,2.0,2,835.0,550.0,Unfurnished,24 Hours Available,Thane,New Construction,West,Bachelors,Agent,7.0,100000,Immediately Available,Garden/Park,0,16000,16000,7,0
321,2.0,2,1300.0,850.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,17.0,120000,Immediately Available,Garden/Park,0,27000,27000,1,1
322,3.0,3,1850.0,1292.0,Semi-Furnished,24 Hours Available,Thane,New Construction,North - West,Family,Agent,6.0,280000,Immediately Available,Garden/Park,6500,55000,55000,2,0
323,2.0,2,1004.0,734.0,Unfurnished,24 Hours Available,Thane,New Construction,East,Bachelors,Agent,10.0,8800,Immediately Available,Garden/Park,0,0,8800,1,0
324,1.0,2,695.0,745.5711920529801,Unfurnished,12 Hours Available,Thane,Less than 5 years,East,Bachelors,Owner,21.0,0,Immediately Not Available,Garden/Park,0,0,12000,0,0
325,1.0,1,595.0,449.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,5.0,9000,Immediately Available,Garden/Park,0,9000,9000,0,1
326,2.0,2,909.0,686.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,North - East,Bachelors,Agent,3.0,13000,Immediately Available,Garden/Park,0,13000,13000,0,1
327,1.0,2,770.0,580.0,Unfurnished,24 Hours Available,Thane,New Construction,East,Bachelors,Agent,1.0,50000,Immediately Available,Main Road,0,0,9000,0,1
328,1.0,1,720.0,534.0,Unfurnished,24 Hours Available,Thane,New Construction,East,Family / Bachelors ,Agent,9.0,7000,Immediately Available,Garden/Park,0,7000,7000,1,0
329,2.0,2,1000.0,770.0,Semi-Furnished,24 Hours Available,Thane,New Construction,North - East,Family,Agent,7.0,100000,Immediately Available,Garden/Park,0,23000,23000,1,0
330,1.0,1,635.0,450.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family,Agent,7.0,11000,Immediately Available,Garden/Park,0,11000,11000,0,0
331,2.0,2,700.0,535.0,Semi-Furnished,12 Hours Available,Thane,Less than 5 years,East,Family,Agent,18.0,100000,Immediately Available,Garden/Park,0,35000,35000,1,0
332,2.0,2,1250.0,721.0,Unfurnished,12 Hours Available,Thane,New Construction,East,Family / Bachelors ,Agent,10.0,120000,Immediately Not Available,Garden/Park,0,20000,20000,0,0
333,2.0,2,1080.0,709.0,Furnished,24 Hours Available,Thane,Less than 5 years,North - East,Family / Bachelors ,Agent,16.0,16000,Immediately Available,Garden/Park,0,16000,16000,1,1
334,2.0,2,950.0,875.0,Furnished,24 Hours Available,Thane,5 to 10 years,West,Family,Agent,10.0,100000,Immediately Available,Garden/Park,0,0,19000,0,0
335,2.0,2,1000.0,655.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,North - East,Family,Agent,18.0,150000,Immediately Available,Main Road,5000,25000,25000,1,0
336,2.0,2,1050.0,750.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,3.0,121000,Immediately Available,Garden/Park,0,33000,33000,0,1
337,2.0,2,918.0,665.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,18.0,14000,Immediately Available,Garden/Park,2000,14000,14000,0,1
338,1.0,1,585.0,449.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Family / Bachelors ,Agent,7.0,7100,Immediately Available,Garden/Park,0,7100,7100,0,1
339,2.0,2,1040.0,727.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,North,Bachelors,Agent,8.0,151000,Immediately Available,Garden/Park,0,34000,34000,1,0
340,1.0,1,565.0,745.5711920529801,Semi-Furnished,12 Hours Available,Thane,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,1.0,0,Immediately Not Available,Not Mentioned,0,0,5000,0,0
341,1.0,2,705.0,421.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Family,Agent,3.0,50000,Immediately Available,Garden/Park,0,14000,14000,0,1
342,3.0,2,1098.0,778.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,North - West,Family / Bachelors ,Agent,9.0,14000,Immediately Available,Garden/Park,0,14000,14000,0,1
343,2.0,2,940.0,696.0,Unfurnished,24 Hours Available,Thane,New Construction,East,Family / Bachelors ,Agent,9.0,35000,Immediately Available,Garden/Park,0,8000,8000,1,1
344,3.0,3,1650.0,1152.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,15.0,151000,Immediately Available,Garden/Park,100,48000,48000,2,0
345,1.0,2,630.0,425.0,Furnished,24 Hours Available,Thane,5 to 10 years,East,Family,Agent,2.0,150000,Immediately Available,Main Road,0,25000,25000,0,1
346,1.0,2,550.0,430.0,Unfurnished,24 Hours Available,Thane,New Construction,South,Bachelors,Owner,7.0,0,Immediately Not Available,Main Road,0,0,20000,0,0
347,2.0,1,750.0,650.0,Unfurnished,24 Hours Available,Thane,10 to 15 years,East,Family / Bachelors ,Owner,0.0,40000,Immediately Available,Main Road,0,0,9500,0,1
348,2.0,2,1051.0,700.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,14.0,70000,Immediately Available,Garden/Park,0,16000,16000,0,2
349,2.0,2,950.0,670.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,North - East,Family / Bachelors ,Agent,11.0,50000,Immediately Available,Garden/Park,1000,14000,14000,0,2
350,2.0,2,1000.0,580.0,Unfurnished,12 Hours Available,Thane,Less than 5 years,Not Mentioned,Family / Bachelors ,Agent,10.0,100000,Immediately Not Available,Not Mentioned,0,27000,27000,0,0
351,1.0,1,595.0,449.0,Unfurnished,24 Hours Available,Thane,New Construction,East,Bachelors,Agent,7.0,9000,Immediately Available,Garden/Park,0,9000,9000,1,0
352,1.0,2,525.0,400.0,Unfurnished,24 Hours Available,Thane,15 to 20 years,West,Family / Bachelors ,Agent,0.0,90000,Immediately Available,Main Road,0,15000,15000,0,0
353,2.0,2,1050.0,750.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,North - East,Bachelors,Agent,9.0,111000,Immediately Available,Garden/Park,0,30000,30000,0,1
354,1.0,2,631.0,420.0,Unfurnished,24 Hours Available,Thane,New Construction,North - East,Family / Bachelors ,Agent,11.0,100000,Immediately Available,Garden/Park,2500,21000,21000,1,1
355,3.0,2,1098.0,798.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,North - East,Family / Bachelors ,Agent,8.0,50000,Immediately Available,Main Road,0,15000,15000,0,1
356,1.0,1,800.0,510.0,Unfurnished,24 Hours Available,Thane,Less than 5 years,North,Family / Bachelors ,Agent,4.0,6500,Immediately Available,Garden/Park,0,6500,6500,0,1
357,2.0,2,667.0,497.0,Unfurnished,24 Hours Available,Thane,5 to 10 years,East,Family,Agent,5.0,60000,Immediately Available,Garden/Park,50,12700,12700,0,0
358,2.0,2,850.0,540.0,Unfurnished,12 Hours Available,Thane,Less than 5 years,East,Bachelors,Agent,12.0,150000,Immediately Not Available,Garden/Park,0,36000,24000,0,0
359,2.0,2,1050.0,687.0,Semi-Furnished,24 Hours Available,Thane,Less than 5 years,West,Family / Bachelors ,Agent,10.0,100000,Immediately Available,Garden/Park,1,22000,22000,1,0
360,2.0,2,700.0,500.0,Furnished,24 Hours Available,Bhandup,10 to 15 years,North - East,Family / Bachelors ,Agent,5.0,150000,Immediately Available,Garden/Park,0,32000,32000,0,1
361,3.0,3,1778.0,1000.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Family / Bachelors ,Agent,18.0,200000,Immediately Available,Garden/Park,0,47500,47500,1,0
362,3.0,3,1852.0,1123.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Family / Bachelors ,Agent,22.0,250000,Immediately Available,Garden/Park,0,55500,55500,1,0
363,2.0,2,1100.0,700.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family,Agent,4.0,200000,Immediately Available,Garden/Park,0,40000,40000,1,0
364,2.0,2,775.0,530.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Agent,15.0,100000,Immediately Available,Main Road,1,32500,32500,0,1
365,1.0,2,650.0,430.0,Unfurnished,24 Hours Available,Bhandup,10 to 15 years,East,Family / Bachelors ,Agent,10.0,100000,Immediately Available,Garden/Park,0,27000,27000,1,0
366,2.0,2,1245.0,800.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Family,Agent,5.0,130000,Immediately Available,Main Road,0,35000,35000,0,1
367,3.0,2,1000.0,770.0,Furnished,12 Hours Available,Bhandup,5 to 10 years,East,Bachelors,Agent,1.0,200000,Immediately Not Available,Pool,0,45000,45000,0,0
368,1.0,2,650.0,450.0,Semi-Furnished,12 Hours Available,Bhandup,5 to 10 years,North,Bachelors,Agent,15.0,100000,Immediately Not Available,Main Road,0,27000,27000,0,0
369,3.0,2,1200.0,990.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Bachelors,Agent,7.0,1,Immediately Available,Garden/Park,0,0,49000,2,0
370,3.0,3,1600.0,1190.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Bachelors,Agent,7.0,200000,Immediately Available,Not Mentioned,0,0,50000,2,0
371,1.0,2,725.0,510.0,Unfurnished,12 Hours Available,Bhandup,Less than 5 years,North - East,Bachelors,Agent,15.0,100000,Immediately Not Available,Garden/Park,0,25000,25000,0,0
372,2.0,2,958.0,710.0,Furnished,24 Hours Available,Bhandup,Less than 5 years,North - East,Family,Agent,13.0,200000,Immediately Available,Garden/Park,0,0,34000,1,0
373,2.0,2,845.0,610.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Agent,5.0,120000,Immediately Available,Garden/Park,5600,33000,33000,1,0
374,2.0,2,700.0,550.0,Furnished,24 Hours Available,Bhandup,Above 20 years,East,Bachelors,Agent,3.0,100000,Immediately Not Available,Main Road,500,30000,30000,0,1
375,2.0,2,1050.0,740.0,Unfurnished,24 Hours Available,Bhandup,New Construction,East,Family / Bachelors ,Agent,9.0,150000,Immediately Available,Garden/Park,0,35000,35000,0,1
376,3.0,3,1680.0,1200.0,Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Bachelors,Agent,7.0,200000,Immediately Available,Not Mentioned,0,0,52000,2,0
377,2.0,2,900.0,750.0,Unfurnished,12 Hours Available,Bhandup,Less than 5 years,East,Family / Bachelors ,Agent,11.0,150000,Immediately Not Available,Garden/Park,0,40000,40000,0,0
378,3.0,2,1300.0,980.0,Unfurnished,24 Hours Available,Bhandup,Less than 5 years,East,Bachelors,Agent,10.0,150000,Immediately Available,Garden/Park,0,48000,48000,2,0
379,2.0,2,1150.0,740.0,Unfurnished,12 Hours Available,Bhandup,New Construction,West,Bachelors,Agent,28.0,200000,Immediately Not Available,Garden/Park,0,42000,42000,0,0
380,2.0,2,980.0,745.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Agent,12.0,200000,Immediately Available,Garden/Park,0,37000,37000,0,1
381,2.0,2,1005.0,765.0,Furnished,24 Hours Available,Bhandup,5 to 10 years,South - East,Bachelors,Agent,7.0,150000,Immediately Available,Pool,0,42000,42000,1,0
382,2.0,2,990.0,740.0,Unfurnished,12 Hours Available,Bhandup,5 to 10 years,North - West,Bachelors,Agent,6.0,100000,Immediately Not Available,Garden/Park,0,32000,32000,0,0
383,3.0,2,1415.0,1050.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Agent,20.0,250000,Immediately Available,Garden/Park,0,45500,45500,1,0
384,2.0,2,950.0,680.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,West,Bachelors,Agent,7.0,150000,Immediately Available,Not Mentioned,0,35000,35000,1,0
385,3.0,2,1000.0,700.0,Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family,Agent,4.0,150000,Immediately Available,Garden/Park,4500,44000,44000,1,0
386,2.0,2,900.0,750.0,Furnished,24 Hours Available,Bhandup,Above 20 years,North - East,Bachelors,Agent,5.0,100000,Immediately Available,Garden/Park,0,30000,30000,0,1
387,1.0,2,650.0,515.0,Unfurnished,24 Hours Available,Bhandup,New Construction,East,Family,Agent,19.0,150000,Immediately Available,Garden/Park,0,0,25000,0,1
388,2.0,2,1045.0,698.0,Unfurnished,12 Hours Available,Bhandup,New Construction,East,Family / Bachelors ,Agent,12.0,200000,Immediately Not Available,Main Road,0,35000,35000,0,0
389,2.0,2,910.0,650.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Family / Bachelors ,Agent,10.0,210000,Immediately Available,Main Road,0,35000,35000,1,0
390,2.0,2,1275.0,750.0,Semi-Furnished,12 Hours Available,Bhandup,Less than 5 years,North - East,Family,Agent,31.0,200000,Immediately Available,Main Road,1,40000,40000,1,0
391,2.0,2,1120.0,777.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,North - East,Family / Bachelors ,Agent,14.0,200000,Immediately Available,Garden/Park,0,41000,41000,1,0
392,1.0,2,655.0,530.0,Unfurnished,24 Hours Available,Bhandup,Less than 5 years,East,Family,Agent,5.0,150000,Immediately Available,Garden/Park,0,28000,28000,1,0
393,2.0,2,1000.0,600.0,Semi-Furnished,12 Hours Available,Bhandup,Less than 5 years,Not Mentioned,Family / Bachelors ,Agent,4.0,100000,Immediately Not Available,Not Mentioned,0,26000,26000,0,0
394,3.0,3,1100.0,715.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,North - West,Family / Bachelors ,Agent,9.0,100000,Immediately Available,Not Mentioned,0,38000,38000,1,1
395,1.0,2,650.0,450.0,Semi-Furnished,12 Hours Available,Bhandup,5 to 10 years,West,Bachelors,Agent,10.0,100000,Immediately Not Available,Garden/Park,0,27000,27000,0,0
396,2.0,2,975.0,700.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,North - East,Bachelors,Agent,7.0,0,Immediately Available,Not Mentioned,0,32000,32000,0,0
397,1.0,2,800.0,435.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,North - East,Bachelors,Agent,7.0,0,Immediately Available,Not Mentioned,0,0,27000,0,0
398,1.0,2,640.0,410.0,Unfurnished,12 Hours Available,Bhandup,Less than 5 years,East,Bachelors,Agent,8.0,100000,Immediately Not Available,Garden/Park,0,28000,28000,0,0
399,3.0,3,1400.0,1000.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,North - East,Family / Bachelors ,Agent,8.0,200000,Immediately Available,Not Mentioned,0,0,46000,1,0
400,2.0,2,960.0,650.0,Unfurnished,12 Hours Available,Bhandup,5 to 10 years,West,Bachelors,Agent,10.0,100000,Immediately Not Available,Garden/Park,2000,35000,35000,0,0
401,2.0,2,1240.0,777.0,Unfurnished,24 Hours Available,Bhandup,New Construction,North,Bachelors,Agent,14.0,200000,Immediately Available,Garden/Park,500,42000,42000,1,0
402,2.0,2,900.0,700.0,Unfurnished,24 Hours Available,Bhandup,New Construction,East,Family,Agent,10.0,150000,Immediately Available,Not Mentioned,0,33000,33000,0,1
403,3.0,2,1475.0,1000.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,North - East,Bachelors,Agent,7.0,200000,Immediately Available,Main Road,0,0,47000,1,0
404,2.0,2,1200.0,725.0,Semi-Furnished,24 Hours Available,Bhandup,New Construction,North - East,Bachelors,Agent,7.0,1,Immediately Available,Not Mentioned,0,0,40000,1,0
405,3.0,3,1500.0,950.0,Unfurnished,24 Hours Available,Bhandup,New Construction,North - West,Bachelors,Agent,7.0,1,Immediately Available,Not Mentioned,0,0,50000,1,0
406,2.0,2,1100.0,773.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Family,Agent,10.0,240000,Immediately Available,Garden/Park,0,40000,40000,1,0
407,1.0,2,600.0,450.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,East,Bachelors,Agent,3.0,100000,Immediately Available,Garden/Park,0,25000,25000,0,1
408,2.0,2,1150.0,760.0,Unfurnished,24 Hours Available,Bhandup,Less than 5 years,East,Bachelors,Agent,19.0,150000,Immediately Available,Garden/Park,0,40000,40000,1,0
409,2.0,2,950.0,730.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,North - East,Family / Bachelors ,Agent,7.0,100000,Immediately Available,Garden/Park,0,31000,31000,0,1
410,2.0,2,1020.0,690.0,Unfurnished,24 Hours Available,Bhandup,New Construction,North,Family / Bachelors ,Agent,6.0,125000,Immediately Available,Main Road,0,35000,35000,1,0
411,2.0,2,1000.0,600.0,Semi-Furnished,12 Hours Available,Bhandup,5 to 10 years,North - East,Bachelors,Agent,6.0,100000,Immediately Not Available,Main Road,0,0,28000,0,0
412,2.0,2,1050.0,750.0,Semi-Furnished,24 Hours Available,Bhandup,New Construction,North,Bachelors,Agent,7.0,100000,Immediately Available,Not Mentioned,0,35000,35000,0,0
413,3.0,2,1415.0,1050.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Agent,17.0,250000,Immediately Available,Garden/Park,0,46000,46000,1,0
414,2.0,2,950.0,680.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Bachelors,Agent,7.0,200000,Immediately Available,Not Mentioned,0,38000,38000,1,0
415,2.0,2,800.0,550.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family,Agent,8.0,100000,Immediately Available,Garden/Park,3500,35000,35000,1,0
416,2.0,2,850.0,650.0,Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Family / Bachelors ,Agent,22.0,150000,Immediately Available,Garden/Park,1000,38000,38000,1,0
417,1.0,2,650.0,513.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Bachelors,Agent,2.0,100000,Immediately Available,Garden/Park,0,25000,25000,0,1
418,2.0,2,800.0,500.0,Furnished,24 Hours Available,Bhandup,5 to 10 years,North - East,Family / Bachelors ,Agent,7.0,150000,Immediately Available,Garden/Park,0,33000,33000,0,1
419,2.0,2,1216.0,780.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Family / Bachelors ,Agent,20.0,200000,Immediately Available,Garden/Park,0,36500,36500,1,0
420,3.0,2,1250.0,923.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Agent,15.0,200000,Immediately Available,Garden/Park,0,50000,50000,1,0
421,3.0,3,1550.0,1000.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,East,Family,Agent,15.0,250000,Immediately Available,Garden/Park,0,50000,50000,1,0
422,3.0,2,1100.0,870.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,West,Bachelors,Agent,7.0,150000,Immediately Available,Not Mentioned,0,38000,38000,1,0
423,2.0,2,1020.0,685.0,Unfurnished,12 Hours Available,Bhandup,New Construction,North,Family,Agent,12.0,150000,Immediately Available,Garden/Park,0,36000,36000,1,0
424,1.0,1,750.0,430.0,Semi-Furnished,24 Hours Available,Bhandup,10 to 15 years,North - East,Family / Bachelors ,Agent,10.0,100000,Immediately Available,Main Road,0,26000,26000,0,1
425,2.0,2,1294.0,775.0,Unfurnished,24 Hours Available,Bhandup,Less than 5 years,North - West,Bachelors,Agent,7.0,500000,Immediately Available,Not Mentioned,0,42000,42000,1,0
426,2.0,2,1050.0,700.0,Semi-Furnished,24 Hours Available,Bhandup,Less than 5 years,West,Bachelors,Agent,7.0,200000,Immediately Available,Not Mentioned,0,42000,42000,1,0
427,1.0,2,600.0,410.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,East,Family,Agent,3.0,100000,Immediately Available,Garden/Park,2500,25000,25000,0,1
428,1.0,1,628.0,450.0,Unfurnished,24 Hours Available,Bhandup,Less than 5 years,West,Family,Owner,6.0,0,Immediately Available,Not Mentioned,0,0,19000,0,1
429,1.0,2,600.0,440.0,Furnished,12 Hours Available,Bhandup,5 to 10 years,East,Bachelors,Agent,4.0,125000,Immediately Not Available,Garden/Park,0,28000,28000,0,0
430,3.0,2,1233.0,883.0,Furnished,24 Hours Available,Bhandup,5 to 10 years,Not Mentioned,Family / Bachelors ,Agent,3.0,300000,Immediately Available,Garden/Park,0,55000,55000,1,0
431,2.0,2,900.0,600.0,Furnished,12 Hours Available,Bhandup,5 to 10 years,Not Mentioned,Family / Bachelors ,Agent,6.0,1500000,Immediately Not Available,Not Mentioned,0,36000,36000,0,0
432,1.0,2,610.0,390.0,Semi-Furnished,24 Hours Available,Bhandup,New Construction,North,Bachelors,Agent,7.0,100000,Immediately Available,Not Mentioned,0,23000,23000,0,0
433,2.0,2,1100.0,650.0,Furnished,24 Hours Available,Bhandup,Less than 5 years,North - East,Bachelors,Agent,7.0,100000,Immediately Available,Not Mentioned,0,35000,35000,0,0
434,3.0,3,1200.0,850.0,Furnished,24 Hours Available,Bhandup,10 to 15 years,East,Family / Bachelors ,Agent,9.0,200000,Immediately Available,Garden/Park,2500,59000,59000,1,1
435,2.0,2,1150.0,720.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Agent,11.0,100000,Immediately Available,Main Road,0,38000,38000,0,1
436,1.0,2,625.0,480.0,Furnished,24 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Owner,6.0,150000,Immediately Not Available,Garden/Park,6000,0,32000,1,0
437,1.0,1,650.0,456.0,Unfurnished,24 Hours Available,Bhandup,Less than 5 years,North,Bachelors,Agent,5.0,100000,Immediately Available,Garden/Park,1,25000,25000,0,1
438,1.0,1,496.0,426.0,Furnished,12 Hours Available,Bhandup,10 to 15 years,East,Bachelors,Owner,2.0,0,Immediately Not Available,Main Road,0,0,25000,0,0
439,1.0,2,535.0,745.5711920529801,Semi-Furnished,12 Hours Available,Bhandup,Less than 5 years,Not Mentioned,Family / Bachelors ,Owner,7.0,0,Immediately Not Available,Not Mentioned,0,0,25000,0,0
440,2.0,2,820.0,620.0,Unfurnished,24 Hours Available,Bhandup,10 to 15 years,East,Family / Bachelors ,Owner,7.0,0,Immediately Available,Main Road,0,0,31000,0,0
441,1.0,1,600.0,410.0,Semi-Furnished,12 Hours Available,Bhandup,10 to 15 years,Not Mentioned,Family / Bachelors ,Owner,6.0,150000,Immediately Not Available,Not Mentioned,0,0,22000,0,0
442,2.0,2,860.0,745.5711920529801,Semi-Furnished,12 Hours Available,Bhandup,15 to 20 years,South,Family / Bachelors ,Owner,5.0,100000,Immediately Not Available,Not Mentioned,0,0,35000,0,0
443,3.0,3,1600.0,1200.0,Furnished,12 Hours Available,Bhandup,5 to 10 years,East,Family / Bachelors ,Agent,20.0,0,Immediately Not Available,Garden/Park,0,49500,49500,0,0
444,1.0,2,699.0,456.0,Unfurnished,24 Hours Available,Bhandup,5 to 10 years,East,Bachelors,Agent,5.0,125000,Immediately Available,Main Road,1,28000,28000,0,1
445,2.0,1,376.0,745.5711920529801,Unfurnished,12 Hours Available,Bhandup,Less than 5 years,North,Bachelors,Owner,4.0,0,Immediately Not Available,Not Mentioned,0,0,15000,0,0
446,1.0,2,360.0,745.5711920529801,Semi-Furnished,12 Hours Available,Bhandup,Less than 5 years,North,Family / Bachelors ,Owner,0.0,0,Immediately Not Available,Not Mentioned,0,0,20000,0,0
447,3.0,2,1485.0,745.5711920529801,Semi-Furnished,12 Hours Available,Bhandup,Less than 5 years,South -West,Bachelors,Owner,21.0,200000,Immediately Available,Main Road,0,0,54000,1,0
448,2.0,2,1000.0,745.5711920529801,Unfurnished,12 Hours Available,Bhandup,10 to 15 years,North - East,Bachelors,Owner,3.0,200000,Immediately Not Available,Garden/Park,0,0,42000,0,0
449,1.0,2,680.0,550.0,Semi-Furnished,24 Hours Available,Bhandup,5 to 10 years,North - West,Bachelors,Owner,15.0,100000,Immediately Not Available,Garden/Park,5000,0,30000,2,0
450,1.0,2,780.0,650.0,Furnished,24 Hours Available,Bhandup,Less than 5 years,North - West,Family / Bachelors ,Owner,12.0,150000,Immediately Available,Main Road,0,0,27500,1,0
451,2.0,2,500.0,500.0,Semi-Furnished,12 Hours Available,Bhandup,10 to 15 years,Not Mentioned,Family / Bachelors ,Owner,0.0,0,Immediately Not Available,Not Mentioned,0,0,16000,0,0
452,3.0,3,1650.0,1142.0,Unfurnished,24 Hours Available,Bhandup,Less than 5 years,East,Family / Bachelors ,Agent,8.0,200000,Immediately Available,Garden/Park,0,55000,55000,1,0
